run_name,model_name,lr,num_seeds,best_epoch_mean,best_epoch_std,val_loss_mean,val_loss_std,val_top1_accuracy_mean,val_top1_accuracy_std,val_macro_accuracy_mean,val_macro_accuracy_std,val_top5_accuracy_mean,val_top5_accuracy_std,test_loss_mean,test_loss_std,test_top1_accuracy_mean,test_top1_accuracy_std,test_macro_accuracy_mean,test_macro_accuracy_std,test_top5_accuracy_mean,test_top5_accuracy_std
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,1,43.0,0.0,1.0099903259860854,0.0,0.768642447418738,0.0,0.7623345851898193,0.0,0.8940726577437859,0.0,1.0400624176702522,0.0,0.750956388676358,0.0,0.7380913496017456,0.0,0.8928844682478959,0.0
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.3,1,39.0,0.0,1.077938333660877,0.0,0.767112810707457,0.0,0.7621863484382629,0.0,0.8898661567877629,0.0,1.1172165640821508,0.0,0.7471308339709258,0.0,0.735788881778717,0.0,0.8940321346595256,0.0
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.5,1,46.0,0.0,1.2196956233358291,0.0,0.7640535372848949,0.0,0.7610725164413452,0.0,0.8883365200764818,0.0,1.2526064291197376,0.0,0.7371843917368018,0.0,0.7236509919166565,0.0,0.8967100229533282,0.0
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.7,1,47.0,0.0,1.4295228815899297,0.0,0.7571701720841301,0.0,0.7548030018806458,0.0,0.8848948374760994,0.0,1.4682893950061755,0.0,0.7333588370313695,0.0,0.7208728790283203,0.0,0.8928844682478959,0.0
mot_base-large_1d-bs.512-ep.300,mot_base_1d,1.0,1,43.0,0.0,1.874886320562709,0.0,0.7537284894837476,0.0,0.7515756487846375,0.0,0.8860420650095602,0.0,1.9213043860834613,0.0,0.7260902830910482,0.0,0.712533712387085,0.0,0.8921193573068095,0.0
mot_base-small_1d-bs.512-ep.300,mot_base_1d,0.1,1,43.0,0.0,0.774008363246006,0.0,0.8363288718929255,0.0,0.831061840057373,0.0,0.9231357552581262,0.0,0.7551676612276108,0.0,0.8335883703136955,0.0,0.8233178853988647,0.0,0.9223412394797246,0.0
mot_base-small_1d-bs.512-ep.300,mot_base_1d,0.3,1,46.0,0.0,0.7737484554487706,0.0,0.8424474187380497,0.0,0.8371064066886902,0.0,0.9326959847036329,0.0,0.7651603789209134,0.0,0.8416220351951033,0.0,0.8320133686065674,0.0,0.9265493496557001,0.0
mot_base-small_1d-bs.512-ep.300,mot_base_1d,0.5,1,40.0,0.0,0.8640982720865574,0.0,0.838623326959847,0.0,0.8314914107322693,0.0,0.9288718929254303,0.0,0.867706602369453,0.0,0.8316755929609794,0.0,0.8226549029350281,0.0,0.9292272379495027,0.0
mot_base-small_1d-bs.512-ep.300,mot_base_1d,0.7,1,40.0,0.0,1.020576552907094,0.0,0.8340344168260039,0.0,0.8267580270767212,0.0,0.9304015296367113,0.0,1.0315946770152156,0.0,0.8259372609028309,0.0,0.816479504108429,0.0,0.9284621270084162,0.0
mot_base-small_1d-bs.512-ep.300,mot_base_1d,1.0,1,45.0,0.0,1.3515063809163257,0.0,0.8305927342256214,0.0,0.8235475420951843,0.0,0.9265774378585087,0.0,1.3621526570746985,0.0,0.8198163733741393,0.0,0.8093675374984741,0.0,0.9242540168324407,0.0
mot_base_1d-bs.512-ep.300,mot_base_1d,0.1,1,37.0,0.0,1.0930842660353244,0.0,0.749904397705545,0.0,0.7422235608100891,0.0,0.8925430210325048,0.0,1.1073031056994413,0.0,0.749043611323642,0.0,0.7334351539611816,0.0,0.8902065799540934,0.0
mot_base_1d-bs.512-ep.300,mot_base_1d,0.3,1,36.0,0.0,1.0639392480795515,0.0,0.7590822179732314,0.0,0.7506322264671326,0.0,0.9009560229445507,0.0,1.0722891290222494,0.0,0.7555470543228768,0.0,0.7399076223373413,0.0,0.8932670237184391,0.0
mot_base_1d-bs.512-ep.300,mot_base_1d,0.5,1,36.0,0.0,1.1139433523437032,0.0,0.7548757170172085,0.0,0.7469789981842041,0.0,0.8998087954110898,0.0,1.1098331518545348,0.0,0.749043611323642,0.0,0.734833836555481,0.0,0.8944146901300689,0.0
mot_base_1d-bs.512-ep.300,mot_base_1d,0.7,1,45.0,0.0,1.1746585109265766,0.0,0.7502868068833652,0.0,0.7416147589683533,0.0,0.9005736137667304,0.0,1.1525715373359569,0.0,0.7521040550879877,0.0,0.7376353740692139,0.0,0.8970925784238715,0.0
mot_base_1d-bs.512-ep.300,mot_base_1d,1.0,1,47.0,0.0,1.3023382708401798,0.0,0.7430210325047801,0.0,0.7330304980278015,0.0,0.8975143403441682,0.0,1.2621328650126498,0.0,0.7486610558530987,0.0,0.7350417375564575,0.0,0.8986228003060444,0.0
