run_name,model_name,checkpoint,checkpoint_sha256,lr,seed,best_epoch,val_loss,val_top1_accuracy,val_macro_accuracy,val_top5_accuracy,test_loss,test_top1_accuracy,test_macro_accuracy,test_top5_accuracy
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.001,0,39,2.6770712974650452,0.4829827915869981,0.4617113769054413,0.7292543021032505,2.7200006486444686,0.45562356541698545,0.4276711940765381,0.7065799540933435
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.001,1,46,2.6706070967431734,0.4803059273422562,0.4606822729110718,0.7239005736137667,2.7135660978520106,0.45791889824024484,0.43250155448913574,0.7054322876817138
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.001,2,44,2.6698866076496772,0.487189292543021,0.46460795402526855,0.7246653919694073,2.7134016076389305,0.45371078806426934,0.4271560609340668,0.7008416220351951
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.003,0,42,1.9279540344588388,0.6137667304015296,0.5969112515449524,0.8087954110898662,1.9807466683537338,0.5864575363427696,0.5677821636199951,0.8006885998469778
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.003,1,41,1.9343605026916153,0.6065009560229445,0.5898808836936951,0.8091778202676865,1.9872926188135476,0.5899005355776588,0.5700713396072388,0.7983932670237185
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.003,2,43,1.9291882662654607,0.6084130019120458,0.5908455848693848,0.8087954110898662,1.980764740737413,0.5876052027543994,0.5674495697021484,0.7949502677888294
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.01,0,37,1.4100705279902792,0.7024856596558318,0.688983142375946,0.8669216061185469,1.4609507273970985,0.6710022953328233,0.6553908586502075,0.8530986993114001
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.01,1,39,1.406905004672749,0.7043977055449331,0.6910492181777954,0.865774378585086,1.4577574040384447,0.675592960979342,0.6609311103820801,0.8515684774292273
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.01,2,43,1.4028952604042184,0.702868068833652,0.689220130443573,0.8627151051625239,1.4516671522938758,0.6752104055087987,0.6600069999694824,0.8519510328997705
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.03,0,39,1.1336811014616694,0.7525812619502869,0.7450501918792725,0.8860420650095602,1.1745885368878366,0.7283856159143076,0.7149791717529297,0.8806426931905126
