size,pretrain_epoch,run_name,model_name,checkpoint,checkpoint_sha256,lr,seed,best_epoch,val_loss,val_top1_accuracy,val_macro_accuracy,val_top5_accuracy,test_loss,test_top1_accuracy,test_macro_accuracy,test_top5_accuracy
tiny,100,mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,/data/seokhyeon/MotionJEPA/output/mot_patch_tiny_1d-p3-bs.512-ep.300/motion-jepa-patch-1d-p3-ep100.pth.tar,eb7cf4325610acd7ba02e811ad6777037d14ffaf582beea7463c0cfe71066149,0.3,42,43,0.6372592291458159,0.8615678776290631,0.8587827086448669,0.9353728489483748,0.626457110742804,0.8527161438408569,0.8424473404884338,0.9418515684774292
tiny,200,mot_patch_tiny_1d-p3-bs.512-ep.200,mot_patch_tiny_1d,/data/seokhyeon/MotionJEPA/output/mot_patch_tiny_1d-p3-bs.512-ep.300/motion-jepa-patch-1d-p3-ep200.pth.tar,d586e32397783edb375b6cc0a43c1ebd8871ded3e9dd947d389b80b62f58bda1,0.3,42,46,0.7435057207913517,0.838623326959847,0.8389459252357483,0.92848948374761,0.6932471748883248,0.8423871461361897,0.8347991704940796,0.9368783473603672
tiny,300,mot_patch_tiny_1d-p3-bs.512-ep.300,mot_patch_tiny_1d,/data/seokhyeon/MotionJEPA/output/mot_patch_tiny_1d-p3-bs.512-ep.300/motion-jepa-patch-1d-p3-ep300.pth.tar,d5789229811c72842e87e924041202b867c150e1ac6ac4090eef80a11fdb3821,0.3,42,39,0.9110630334449316,0.805736137667304,0.8038052916526794,0.9097514340344168,0.9050545579345516,0.7915072685539403,0.7825213074684143,0.9112471308339709
small,100,mot_patch_small_1d-p3-bs.512-ep.100,mot_patch_small_1d,/data/seokhyeon/MotionJEPA/output/mot_patch_small_1d-p3-bs.512-ep.300/motion-jepa-patch-1d-p3-ep100.pth.tar,1d70941e374e414068c573efd5109e9ac66e75aba001dacf83dfa1a973134f9e,0.5,42,47,0.7248662551092144,0.8516252390057362,0.850726306438446,0.935755258126195,0.7507554953939238,0.8385615914307575,0.8286522626876831,0.9299923488905891
small,200,mot_patch_small_1d-p3-bs.512-ep.200,mot_patch_small_1d,/data/seokhyeon/MotionJEPA/output/mot_patch_small_1d-p3-bs.512-ep.300/motion-jepa-patch-1d-p3-ep200.pth.tar,947e21476fc239bc5681e001c9190da6c5faadb4ed0d3ad68a5b2bdf5d403dd1,0.1,42,35,1.0523003368487094,0.7659655831739962,0.7615790367126465,0.8887189292543021,1.0424697659995232,0.7628156082631982,0.7503635287284851,0.8936495791889824
small,300,mot_patch_small_1d-p3-bs.512-ep.300,mot_patch_small_1d,/data/seokhyeon/MotionJEPA/output/mot_patch_small_1d-p3-bs.512-ep.300/motion-jepa-patch-1d-p3-ep300.pth.tar,b9ba81dc5c18c57550e1294c3af4a462a03b0122e02d35f659796ff21d908f3f,1.0,42,44,1.535025265111978,0.6615678776290631,0.6532676219940186,0.8562141491395794,1.5836800660627346,0.6469013006885999,0.6296471357345581,0.8473603672532517
base,100,mot_patch_base_1d-p3-bs.512-ep.100,mot_patch_base_1d,/data/seokhyeon/MotionJEPA/output/mot_patch_base_1d-p3-bs.512-ep.300/motion-jepa-patch-1d-p3-ep100.pth.tar,331723e348bd953f3cfd9d5e47d7267a69c322ad3894c1db697a5716ab524616,0.1,42,39,0.6805279835688225,0.8466539196940727,0.8443974256515503,0.9372848948374761,0.6495048994313877,0.8538638102524866,0.8481699228286743,0.9334353481254782
base,200,mot_patch_base_1d-p3-bs.512-ep.200,mot_patch_base_1d,/data/seokhyeon/MotionJEPA/output/mot_patch_base_1d-p3-bs.512-ep.300/motion-jepa-patch-1d-p3-ep200.pth.tar,9b8c00e723401a2a9e6f1867a8d0073bb7b2916ac835e507cdc9fc4b15da2277,0.1,42,37,0.9587751516192639,0.7808795411089866,0.7762806415557861,0.9066921606118546,0.9489072626021954,0.7865340474368784,0.7738349437713623,0.8970925784238715
base,300,mot_patch_base_1d-p3-bs.512-ep.300,mot_patch_base_1d,/data/seokhyeon/MotionJEPA/output/mot_patch_base_1d-p3-bs.512-ep.300/motion-jepa-patch-1d-p3-ep300.pth.tar,69a55436007c0a3297d895e520e0cec0685ebeb2e2f33af2c4a235688e9d2051,0.3,42,40,1.531764022797973,0.648565965583174,0.6448202729225159,0.8435946462715105,1.539766534923504,0.6426931905126243,0.6247223019599915,0.8431522570772763
large,100,mot_patch_large_1d-p3-bs.512-ep.100,mot_patch_large_1d,/data/seokhyeon/MotionJEPA/output/mot_patch_large_1d-p3-bs.512-ep.300/motion-jepa-patch-1d-p3-ep100.pth.tar,bd50943fcaebafe5a2fdd1cf763254b80ab7cba8f8f48dda202a105ce8e44a5c,0.1,42,35,0.6198844501210901,0.8684512428298279,0.8669474124908447,0.9445506692160612,0.6139409080569582,0.8615149196633511,0.8529241681098938,0.9441469013006886
